claim_id,module,server,claim_text,claim_type,claim_confidence,evidence_ids,independence_check,version_match,status,verified_date,next_review_due,affected_files,notes
CLM-PVE-F810-SHIZURU,pve,CROSS_SERVER_MAPPING,火8-10 第二支可追溯隊＝靜流（情人節）／萊拉耶爾（聖誕節）／克蘿茜（航空）／烏爾姆／露易絲瑪莉；操作為 SEMI_AUTO,ANALYTICAL_JUDGMENT,C,ev070;ev071;ev072;ev073,YES,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25,三支實戰影片均顯示相同五人與擊破結果且 GameWith 另有完整文字隊伍與步驟；獨立性以不同 host 的 ev070 與 ev073 成立，ev071／ev072 僅作交叉旁證；多來源仍同五人只計一隊；逐 slot 完整練度未齊故保留 UNKNOWN
CLM-PVE-F810-NOLUISE,pve,JP,火8-10 第三支可追溯隊＝真步（夏日）／萊拉耶爾（聖誕節）／克蘿茜（航空）／烏爾姆／優衣（聖誕節）；操作為 SEMI_AUTO 且克蘿茜（航空）為借角想定,ANALYTICAL_JUDGMENT,D,ev051;ev057;ev058;ev060;ev073;ev075;ev076,N_A,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25,【僅供參考】ev051 單一實戰在 00:12 顯示完整五人並於 03:15 顯示角色 EXP／等級上升與取得報酬的通關後 UI；ev051 單獨支撐關卡＋五人＋通關，故上限 D；ev073 僅交叉辨識角色圖示／版本，不作通關證據；ev057／ev058／ev060／ev075／ev076 只支撐台服可用性與官方名
CLM-TW-SHIZURU-VAL-AVAILABLE,availability,TW,台服官方公告於 2026/06/01 起的自選獎勵轉蛋列出「靜流（情人節）」且 #2873 亦列入火屬性限定候補，因此目前台服 AVAILABLE,SOURCE_FACT,A,ev074;ev075,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;25,兩頁皆為台服官方直頁且本輪實開；不是初次實裝公告所以不填造 tw_release_date
CLM-TW-MAHO-SUMMER-AVAILABLE,availability,TW,台服官方 #2873 火屬性自選★3必中白金轉蛋列出「真步（夏日）」為限定候補，因此目前台服 AVAILABLE,SOURCE_FACT,A,ev075,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;25,本輪官方直頁實開；不是初次實裝公告所以不填造 tw_release_date
CLM-TW-YUI-XMAS-REL,availability,TW,台服「優衣（聖誕節）」於 2026/04/01 16:00 期間限定精選轉蛋實裝,SOURCE_FACT,A,ev076,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;25,本 Claim 只含台服官方事實；跨服映射＝CLM-LOC-YUI-XMAS
CLM-TW-LAILAEL-XMAS-UE1,availability,TW,台服於 2026/04/10 16:00 起為「萊拉耶爾（聖誕節）」追加角色專用裝備1,SOURCE_FACT,A,ev077,N_A,YES,ACTIVE,2026-08-08,2026-09-30,18;23;99,#3805 本輪依工單只重試一次且官方直頁成功實開；僅證明 UE1 已追加不推定等級
CLM-LOC-SHIZURU-VALENTINE,availability,CROSS_SERVER_MAPPING,台服「靜流（情人節）」＝日服「シズル（バレンタイン）」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev073;ev074;ev075,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;25,GameWith 日文完整名／圖示與兩份台服官方中文名交叉映射；版本後綴情人節／バレンタイン一致；無官方跨服對照聲明故上限 B
CLM-LOC-MAHO-SUMMER,availability,CROSS_SERVER_MAPPING,台服「真步（夏日）」＝GameWith 表記「水着マホ」所指之マホ（サマー）版本,ANALYTICAL_JUDGMENT,B,ev073;ev075,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;25,GameWith 日文角色圖示／水着表記與台服官方「夏日」版本交叉映射；無官方跨服對照聲明且日文來源採水着簡稱故上限 B
CLM-LOC-YUI-XMAS,availability,CROSS_SERVER_MAPPING,台服「優衣（聖誕節）」＝日服「ユイ（クリスマス）」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev073;ev076,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;25,GameWith 日文完整名／圖示與台服官方中文名交叉映射；版本後綴聖誕節／クリスマス一致；無官方跨服對照聲明故上限 B
CLM-PVE-TL-F810-SHIZURU,pve,JP,GameWith 火8-10 的 2025 年 9 月魔法半自動段落為 TM-F810-02 列出八組有順序的操作手順；本專案將複合手順拆為十四個原子動作但不補來源未載的容錯與失敗結果,SOURCE_FACT,D,ev073,N_A,YES,ACTIVE,2026-08-08,2026-09-30,21;23;26;27,2026-08-08 已實際開啟正文並逐項核對；來源 locator 精確到 2025 年 9 月魔法半自動手順 1–8；跨服可轉用性尚未於台服逐步重現故不得高於 D 或標 TW_REPRODUCED
CLM-TW-ANNE-GREA-REL,availability,TW,台服期間限定角色「安＆古蕾婭」於 2023/05/04 16:00 在公主祭典精選轉蛋實裝,SOURCE_FACT,A,ev078,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,只含台服官方正文直接支持的角色名與實裝事實；不含跨服名稱對照或強化狀態
CLM-LOC-ANNE-GREA,availability,CROSS_SERVER_MAPPING,台服「安＆古蕾婭」＝日服「アン＆グレア」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev078;ev079,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,以台服與日服兩個官方 host 的角色名、雙人組合及同版本登場資訊交叉比對；無官方跨服對照聲明故上限 B
CLM-TW-MIO-NGS-AVAILABLE,availability,TW,台服官方復刻活動明示「未央（NGs）」可成為夥伴，因此目前台服 AVAILABLE,SOURCE_FACT,A,ev080,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,只含台服官方正文直接支持的目前可取得事實與官方中文名；不是初次實裝公告所以不推定實裝日
CLM-LOC-MIO-NGS,availability,CROSS_SERVER_MAPPING,台服「未央（NGs）」＝日服「ミオ（デレマス）」為同一角色同一版本,ANALYTICAL_JUDGMENT,B,ev080;ev081,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,以台服與日服兩個官方 host 的角色名、聯動作品與角色身分交叉比對；兩服版本後綴不同且無官方跨服對照聲明故上限 B
CLM-PVE-F810-ANNEGREA,pve,JP,火 8-10 第四支可追溯隊＝萊拉耶爾（聖誕節）／克蘿茜（航空）／烏爾姆／安＆古蕾婭／優衣（聖誕節）；來源未充分聲明操作模式故維持 UNKNOWN,ANALYTICAL_JUDGMENT,D,ev057;ev058;ev060;ev076;ev078;ev079;ev082,N_A,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25;26,ev082 單一實戰直接支撐關卡＋完整五人＋Boss HP 歸零；其餘 Evidence 僅支撐台服可用性與名稱映射；不從 AUTO／SET 畫面臆測全程 operation mode
CLM-PVE-F810-MIO,pve,JP,火 8-10 第五支可追溯隊＝克蘿茜（航空）／烏爾姆／未央（NGs）／安＆古蕾婭／優衣（聖誕節）；來源聲明 SEMI_AUTO,ANALYTICAL_JUDGMENT,D,ev057;ev060;ev076;ev078;ev079;ev080;ev081;ev083,N_A,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25;26,ev083 單一實戰直接支撐關卡＋完整五人＋勝利；其餘 Evidence 僅支撐台服可用性與名稱映射；來源全域養成條件不拆成逐 slot 事實
CLM-PVE-TL-F810-MIO,pve,JP,ev083 為 TM-F810-05 提供五條帶倒數時間及 AUTO 狀態的來源文字；無法確證的 actor／action 語意只保存為 SOURCE_TEXT_ONLY／NO_ACTION,SOURCE_FACT,D,ev083,N_A,YES,ACTIVE,2026-08-08,2026-09-30,21;23;26;27,來源影片與說明已實際開啟；僅保存來源明載時間、文字與 AUTO 狀態，不把括號樣式或全域養成條件推導成逐 slot 操作事實；尚未於台服逐步重現
CLM-PVE-W810-MISORA-NANAKA,pve,TW,蒼波8-10第一支可追溯隊＝雪野／愛梅斯（夏日）／美空（聖誕節）／七七香（夏日）／薇歐莉特（黃泉鯨命）；操作為MANUAL_TIMELINE,ANALYTICAL_JUDGMENT,D,ev084;ev091;ev092;ev093;ev094;ev099;ev100;ev101;ev102;ev103;ev104,N_A,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25;26,【僅供參考】ev084單一台服玩家影片直接支撐完整五人、明確關卡與CLEAR；其餘Evidence只支撐台服可用性及官方名映射；2目押與世界線風險不泛化為穩定重現
CLM-PVE-W810-SONO-NINON,pve,TW,蒼波8-10第二支可追溯隊＝雪野／愛梅斯（夏日）／苑／妮諾（夏日）／薇歐莉特（黃泉鯨命）；操作為SEMI_AUTO,ANALYTICAL_JUDGMENT,D,ev085;ev091;ev092;ev093;ev094;ev095;ev096;ev097;ev098;ev103;ev104,N_A,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25;26,【僅供參考】ev085單一台服玩家影片顯示Boss HP=0/270000000與剩0:22；其餘Evidence只支撐可用性及名稱；TP5.0+未逐slot歸屬
CLM-PVE-W810-LABYRISTA-SONO,pve,TW,蒼波8-10第三支可追溯隊＝雪野／愛梅斯（夏日）／拉比林斯達（始源）／苑／薇歐莉特（黃泉鯨命）；操作為AUTO,ANALYTICAL_JUDGMENT,D,ev086;ev091;ev092;ev093;ev094;ev095;ev096;ev103;ev104;ev105;ev106,N_A,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25;26,【僅供參考】ev086單一台服玩家影片顯示Boss HP=0/270000000與剩0:03；阿法晶只作來源俗稱並正規化為拉比林斯達（始源），不是克莉絲提娜
CLM-PVE-W810-SONO-NANAKA,pve,TW,蒼波8-10第四支可追溯隊＝雪野／愛梅斯（夏日）／苑／七七香（夏日）／薇歐莉特（黃泉鯨命）；操作為AUTO,ANALYTICAL_JUDGMENT,D,ev087;ev091;ev092;ev093;ev094;ev095;ev096;ev099;ev100;ev103;ev104,N_A,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25;26,【僅供參考】ev087單一台服玩家影片顯示Boss HP=0/270000000與剩0:05後進入Now Loading；O／X樣式不拆為逐slot需求
CLM-PVE-W810-MISORA-SONO,pve,TW,蒼波8-10第五支可追溯隊＝雪野／愛梅斯（夏日）／美空（聖誕節）／苑／薇歐莉特（黃泉鯨命）；操作為AUTO,ANALYTICAL_JUDGMENT,D,ev088;ev091;ev092;ev093;ev094;ev095;ev096;ev101;ev102;ev103;ev104,N_A,YES,ACTIVE,2026-08-08,2026-09-30,22;23;24;25;26,【僅供參考】ev088單一台服玩家影片顯示Boss HP=0/270000000與剩0:17；全SET及OXOOO替代樣式均只保存來源聲明，不作多次重現保證
CLM-PVE-TL-W810-01,pve,TW,ev084為TM-W810-01提供本影片世界線B的九個原子步驟；只將兩個來源標☆目押保存為愛梅斯UB，其餘O／X與角色箭頭保留來源文字,SOURCE_FACT,D,ev084,N_A,YES,ACTIVE,2026-08-08,2026-09-30,21;23;26;27,實際開啟影片與完整說明；不把世界線A重複建為同來源第二條axis，也不補來源未載的逐slot需求與容錯
CLM-PVE-TL-W810-02,pve,TW,ev085為TM-W810-02提供本影片世界線B的六個帶倒數時間及AUTO狀態步驟；世界線A與TP4.0–4.4版本只留風險備註,SOURCE_FACT,D,ev085,N_A,YES,ACTIVE,2026-08-08,2026-09-30,21;23;26;27,實際開啟影片與完整說明；只保存明載時間、Boss UB與AUTO切換，不推定角色箭頭必為UB或SET原子動作
CLM-PVE-TL-W810-03,pve,TW,ev086明示TM-W810-03於1:30開場OXOOX且AUTO ON；本專案以WAVE_START／NO_ACTION加raw_set_pattern保存而不拆解O／X,SOURCE_FACT,D,ev086,N_A,YES,ACTIVE,2026-08-08,2026-09-30,21;23;26;27,單一玩家來源D；TW_REPRODUCED只表示該來源台服影片完成此輪，不表示本專案或多玩家重現
CLM-PVE-TL-W810-04,pve,TW,ev087明示TM-W810-04於1:30開場OOOXO且AUTO ON；本專案以WAVE_START／NO_ACTION加raw_set_pattern保存而不拆解O／X,SOURCE_FACT,D,ev087,N_A,YES,ACTIVE,2026-08-08,2026-09-30,21;23;26;27,單一玩家來源D；來源全域養成不拆填逐slot，亦不從一次成功推定穩定度
CLM-PVE-TL-W810-05,pve,TW,ev088明示TM-W810-05於1:30全SET全自動且OXOOO亦可；本專案以WAVE_START／NO_ACTION加raw_set_pattern=全SET保存主要聲明,SOURCE_FACT,D,ev088,N_A,YES,ACTIVE,2026-08-08,2026-09-30,21;23;26;27,單一玩家來源D；替代OXOOO保留在說明與failure_conditions，不建立第二條同來源axis
CLM-TW-YUKINO-REL,availability,TW,台服「雪野」於2026/02/01 16:00在精選轉蛋實裝,SOURCE_FACT,A,ev091,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,本Claim只含台服官方正文直接支持的角色名與實裝事實；跨服對照另見CLM-LOC-YUKINO
CLM-TW-AMES-SUMMER-REL,availability,TW,台服「愛梅斯（夏日）」於2024/12/01 16:00在精選轉蛋實裝,SOURCE_FACT,A,ev093,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,本Claim只含台服官方正文直接支持的角色名與實裝事實；跨服對照另見CLM-LOC-AMES-SUMMER
CLM-TW-SONO-REL,availability,TW,台服「苑」於2025/09/16 16:00在精選轉蛋實裝,SOURCE_FACT,A,ev095,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,本Claim只含台服官方正文直接支持的角色名與實裝事實；跨服對照另見CLM-LOC-SONO
CLM-TW-NINON-SUMMER-REL,availability,TW,台服「妮諾（夏日）」於2025/12/16 16:00在精選轉蛋實裝,SOURCE_FACT,A,ev097,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,本Claim只含台服官方正文直接支持的角色名與實裝事實；跨服對照另見CLM-LOC-NINON-SUMMER
CLM-TW-NANAKA-SUMMER-AVAILABLE,availability,TW,台服官方公告列出「七七香（夏日）」為可取得角色，因此目前台服AVAILABLE,SOURCE_FACT,A,ev099,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,官方頁不是首次實裝公告所以tw_release_date維持空白；不推定逐項強化
CLM-TW-MISORA-XMAS-REL,availability,TW,台服「美空（聖誕節）」於2026/04/16 16:00在精選轉蛋實裝,SOURCE_FACT,A,ev101,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,本Claim只含台服官方正文直接支持的角色名與實裝事實；跨服對照另見CLM-LOC-MISORA-XMAS
CLM-TW-VIOLET-ISANAMI-REL,availability,TW,台服「薇歐莉特（黃泉鯨命）」於2026/06/01 16:00在精選轉蛋實裝,SOURCE_FACT,A,ev103,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,本Claim只含台服官方名稱與實裝；水堇是社群俗稱不得取代官方名
CLM-TW-LABYRISTA-ALPHA-REL,availability,TW,台服「拉比林斯達（始源）」於2025/06/01 16:00在精選轉蛋實裝,SOURCE_FACT,A,ev105,N_A,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,本Claim只含台服官方名稱與實裝；阿法晶是社群俗稱且不是克莉絲提娜
CLM-LOC-YUKINO,availability,CROSS_SERVER_MAPPING,台服「雪野」＝日服「ユキノ」為同一角色原版,ANALYTICAL_JUDGMENT,B,ev091;ev092,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,以兩個官方host的角色名、原版無後綴及登場資料交叉比對；無官方跨服對照聲明故上限B
CLM-LOC-AMES-SUMMER,availability,CROSS_SERVER_MAPPING,台服「愛梅斯（夏日）」＝日服「アメス（サマー）」為同一角色夏日版本,ANALYTICAL_JUDGMENT,B,ev093;ev094,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,以兩個官方host的角色名及夏日／サマー版本後綴交叉比對；無官方跨服對照聲明故上限B
CLM-LOC-SONO,availability,CROSS_SERVER_MAPPING,台服「苑」＝日服「ソノ」為同一角色原版,ANALYTICAL_JUDGMENT,B,ev095;ev096,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,以兩個官方host的角色名、原版無後綴及登場資料交叉比對；無官方跨服對照聲明故上限B
CLM-LOC-NINON-SUMMER,availability,CROSS_SERVER_MAPPING,台服「妮諾（夏日）」＝日服「ニノン（サマー）」為同一角色夏日版本,ANALYTICAL_JUDGMENT,B,ev097;ev098,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,以兩個官方host的角色名及夏日／サマー版本後綴交叉比對；無官方跨服對照聲明故上限B
CLM-LOC-NANAKA-SUMMER,availability,CROSS_SERVER_MAPPING,台服「七七香（夏日）」＝日服「ナナカ（サマー）」為同一角色夏日版本,ANALYTICAL_JUDGMENT,B,ev099;ev100,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,以兩個官方host的角色名及夏日／サマー版本後綴交叉比對；台服頁不是首次實裝且無官方跨服聲明，故上限B
CLM-LOC-MISORA-XMAS,availability,CROSS_SERVER_MAPPING,台服「美空（聖誕節）」＝日服「ミソラ（クリスマス）」為同一角色聖誕版本,ANALYTICAL_JUDGMENT,B,ev101;ev102,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,以兩個官方host的角色名及聖誕節／クリスマス版本後綴交叉比對；無官方跨服對照聲明故上限B
CLM-LOC-VIOLET-ISANAMI,availability,CROSS_SERVER_MAPPING,台服「薇歐莉特（黃泉鯨命）」＝日服「ヴァイオレット（イサナミ）」為同一角色同版本,ANALYTICAL_JUDGMENT,B,ev103;ev104,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,以台服與日服官方host的角色名、版本後綴及限定登場資料交叉比對；水堇僅為社群俗稱，無官方跨服聲明故上限B
CLM-LOC-LABYRISTA-ALPHA,availability,CROSS_SERVER_MAPPING,台服「拉比林斯達（始源）」＝日服「ラビリスタ（アルファ）」為同一角色同版本,ANALYTICAL_JUDGMENT,B,ev105;ev106,YES,YES,ACTIVE,2026-08-08,2026-09-30,03;18;23;25,兩服官方正文同指角色劇情解鎖之同一活動第2話與終幕／エピローグ，並有相符角色名與限定版本；無官方跨服聲明故上限B
